graph_size_n,total_edges,total_iterations,total_algorithm_time,avg_iteration_time,total_dijkstra_time,avg_dijkstra_time,total_vertices_processed,avg_vertices_per_dijkstra,min_iteration_time,max_iteration_time,std_iteration_time,min_dijkstra_time,max_dijkstra_time,std_dijkstra_time,avg_path_length,min_path_length,max_path_length,avg_path_weight,total_potential_updates,avg_potential_updates
100,10000,100,0.004869,0.000049,0.002849,0.000028,20000,200.000000,0.000038,0.000062,0.000006,0.000013,0.000040,0.000005,4.500000,2,32,477.700000,20000,200.000000
100,10000,100,0.004702,0.000047,0.002754,0.000028,20000,200.000000,0.000035,0.000060,0.000004,0.000013,0.000036,0.000004,4.480000,2,24,-21929.510000,20000,200.000000
100,10000,100,0.004895,0.000049,0.002877,0.000029,20000,200.000000,0.000037,0.000060,0.000004,0.000013,0.000040,0.000004,4.080000,2,16,451.700000,20000,200.000000
100,10000,100,0.004629,0.000046,0.002729,0.000027,20000,200.000000,0.000037,0.000061,0.000003,0.000012,0.000037,0.000004,4.820000,2,32,-23699.330000,20000,200.000000
100,10000,100,0.004866,0.000049,0.002886,0.000029,20000,200.000000,0.000033,0.000061,0.000005,0.000012,0.000037,0.000004,4.540000,2,26,408.300000,20000,200.000000
100,10000,100,0.004631,0.000046,0.002727,0.000027,20000,200.000000,0.000033,0.000061,0.000004,0.000011,0.000037,0.000004,4.580000,2,26,-22547.090000,20000,200.000000
100,10000,100,0.004639,0.000046,0.002723,0.000027,20000,200.000000,0.000035,0.000062,0.000004,0.000013,0.000037,0.000004,5.120000,2,34,580.060000,20000,200.000000
100,10000,100,0.005051,0.000051,0.002973,0.000030,20000,200.000000,0.000038,0.000062,0.000004,0.000013,0.000037,0.000004,4.740000,2,26,-23300.190000,20000,200.000000
100,10000,100,0.005101,0.000051,0.002989,0.000030,20000,200.000000,0.000039,0.000065,0.000004,0.000013,0.000038,0.000004,4.660000,2,66,425.110000,20000,200.000000
100,10000,100,0.004849,0.000048,0.002853,0.000029,20000,200.000000,0.000037,0.000063,0.000005,0.000013,0.000043,0.000004,4.200000,2,20,-20612.580000,20000,200.000000
100,10000,100,0.004789,0.000048,0.002818,0.000028,20000,200.000000,0.000037,0.000063,0.000005,0.000012,0.000036,0.000004,4.260000,2,30,318.490000,20000,200.000000
100,10000,100,0.004891,0.000049,0.002883,0.000029,20000,200.000000,0.000035,0.000064,0.000004,0.000013,0.000041,0.000004,4.120000,2,22,-20213.080000,20000,200.000000
100,10000,100,0.004892,0.000049,0.002862,0.000029,20000,200.000000,0.000038,0.000063,0.000004,0.000013,0.000037,0.000003,4.320000,2,28,381.510000,20000,200.000000
100,10000,100,0.004779,0.000048,0.002818,0.000028,20000,200.000000,0.000036,0.000067,0.000005,0.000013,0.000042,0.000005,4.200000,2,30,-20643.010000,20000,200.000000
100,10000,100,0.004772,0.000048,0.002797,0.000028,20000,200.000000,0.000041,0.000059,0.000004,0.000012,0.000036,0.000004,4.300000,2,32,433.830000,20000,200.000000
100,10000,100,0.005124,0.000051,0.003007,0.000030,20000,200.000000,0.000036,0.000070,0.000008,0.000013,0.000045,0.000006,4.060000,2,24,-19917.340000,20000,200.000000
100,10000,100,0.004895,0.000049,0.002934,0.000029,20000,200.000000,0.000037,0.000072,0.000005,0.000013,0.000044,0.000005,4.840000,2,26,430.440000,20000,200.000000
100,10000,100,0.004847,0.000048,0.002836,0.000028,20000,200.000000,0.000037,0.000062,0.000004,0.000013,0.000039,0.000004,4.580000,2,28,-22509.480000,20000,200.000000
100,10000,100,0.004706,0.000047,0.002757,0.000028,20000,200.000000,0.000037,0.000060,0.000004,0.000013,0.000036,0.000004,3.760000,2,26,363.840000,20000,200.000000
100,10000,100,0.004994,0.000050,0.003000,0.000030,20000,200.000000,0.000034,0.000064,0.000005,0.000013,0.000044,0.000005,4.460000,2,24,-21827.950000,20000,200.000000
100,10000,100,0.004938,0.000049,0.002907,0.000029,20000,200.000000,0.000036,0.000060,0.000003,0.000013,0.000038,0.000004,4.060000,2,30,430.000000,20000,200.000000
100,10000,100,0.004673,0.000047,0.002734,0.000027,20000,200.000000,0.000034,0.000055,0.000004,0.000012,0.000035,0.000004,3.640000,2,16,-17867.760000,20000,200.000000
100,10000,100,0.005058,0.000051,0.002972,0.000030,20000,200.000000,0.000036,0.000067,0.000005,0.000013,0.000037,0.000004,3.940000,2,24,306.450000,20000,200.000000
100,10000,100,0.004906,0.000049,0.002870,0.000029,20000,200.000000,0.000037,0.000068,0.000005,0.000013,0.000041,0.000004,3.360000,2,18,-16475.880000,20000,200.000000
100,10000,100,0.004826,0.000048,0.002834,0.000028,20000,200.000000,0.000037,0.000063,0.000005,0.000013,0.000042,0.000005,4.600000,2,26,422.930000,20000,200.000000
100,10000,100,0.004932,0.000049,0.002878,0.000029,20000,200.000000,0.000037,0.000067,0.000005,0.000013,0.000037,0.000004,4.300000,2,30,-21142.210000,20000,200.000000
100,10000,100,0.004942,0.000049,0.002885,0.000029,20000,200.000000,0.000038,0.000062,0.000005,0.000013,0.000040,0.000004,4.540000,2,32,436.310000,20000,200.000000
100,10000,100,0.004987,0.000050,0.002919,0.000029,20000,200.000000,0.000039,0.000064,0.000005,0.000013,0.000041,0.000004,3.800000,2,20,-18607.980000,20000,200.000000
100,10000,100,0.004675,0.000047,0.002722,0.000027,20000,200.000000,0.000038,0.000061,0.000004,0.000014,0.000040,0.000004,3.940000,2,24,356.810000,20000,200.000000
100,10000,100,0.005040,0.000050,0.002964,0.000030,20000,200.000000,0.000037,0.000066,0.000006,0.000013,0.000041,0.000005,4.040000,2,24,-19859.890000,20000,200.000000
200,40000,200,0.031897,0.000159,0.016304,0.000082,80000,400.000000,0.000122,0.000204,0.000010,0.000039,0.000106,0.000009,4.930000,2,68,915.155000,80000,400.000000
200,40000,200,0.032664,0.000163,0.016550,0.000083,80000,400.000000,0.000137,0.000210,0.000012,0.000038,0.000112,0.000011,5.040000,2,52,-99851.440000,80000,400.000000
200,40000,200,0.032621,0.000163,0.016558,0.000083,80000,400.000000,0.000130,0.000242,0.000013,0.000039,0.000115,0.000010,4.580000,2,32,-90644.965000,80000,400.000000
200,40000,200,0.032254,0.000161,0.016415,0.000082,80000,400.000000,0.000116,0.000198,0.000014,0.000035,0.000111,0.000011,4.920000,2,52,911.665000,80000,400.000000
200,40000,200,0.032723,0.000164,0.016536,0.000083,80000,400.000000,0.000130,0.000242,0.000015,0.000039,0.000122,0.000011,5.170000,2,42,-102409.905000,80000,400.000000
200,40000,200,0.031834,0.000159,0.016056,0.000080,80000,400.000000,0.000125,0.000206,0.000011,0.000040,0.000105,0.000011,4.730000,2,42,938.620000,80000,400.000000
200,40000,200,0.033053,0.000165,0.016879,0.000084,80000,400.000000,0.000129,0.000211,0.000013,0.000044,0.000117,0.000011,4.940000,2,36,-97962.595000,80000,400.000000
200,40000,200,0.033016,0.000165,0.016889,0.000084,80000,400.000000,0.000116,0.000208,0.000015,0.000036,0.000113,0.000012,4.860000,2,46,757.990000,80000,400.000000
200,40000,200,0.032220,0.000161,0.016321,0.000082,80000,400.000000,0.000122,0.000211,0.000012,0.000041,0.000106,0.000010,4.220000,2,30,-83621.815000,80000,400.000000
200,40000,200,0.032093,0.000160,0.016397,0.000082,80000,400.000000,0.000136,0.000202,0.000010,0.000039,0.000106,0.000010,4.290000,2,40,834.975000,80000,400.000000
200,40000,200,0.031885,0.000159,0.016223,0.000081,80000,400.000000,0.000121,0.000197,0.000009,0.000039,0.000098,0.000009,4.550000,2,42,-90059.810000,80000,400.000000
200,40000,200,0.031797,0.000159,0.016154,0.000081,80000,400.000000,0.000124,0.000198,0.000010,0.000038,0.000102,0.000009,4.470000,2,46,837.200000,80000,400.000000
200,40000,200,0.031880,0.000159,0.016269,0.000081,80000,400.000000,0.000127,0.000198,0.000009,0.000038,0.000101,0.000009,4.560000,2,42,-90408.260000,80000,400.000000
200,40000,200,0.031585,0.000158,0.016088,0.000080,80000,400.000000,0.000122,0.000207,0.000011,0.000039,0.000101,0.000010,4.980000,2,46,943.120000,80000,400.000000
200,40000,200,0.031963,0.000160,0.016268,0.000081,80000,400.000000,0.000125,0.000204,0.000009,0.000039,0.000100,0.000009,4.460000,2,34,-88423.745000,80000,400.000000
200,40000,200,0.031557,0.000158,0.016083,0.000080,80000,400.000000,0.000130,0.000213,0.000010,0.000043,0.000100,0.000010,5.290000,2,52,1024.405000,80000,400.000000
200,40000,200,0.032127,0.000161,0.016375,0.000082,80000,400.000000,0.000123,0.000199,0.000010,0.000039,0.000105,0.000009,4.400000,2,48,-87126.680000,80000,400.000000
200,40000,200,0.031877,0.000159,0.016285,0.000081,80000,400.000000,0.000123,0.000199,0.000011,0.000040,0.000106,0.000010,5.760000,2,60,1146.945000,80000,400.000000
200,40000,200,0.031789,0.000159,0.016083,0.000080,80000,400.000000,0.000125,0.000199,0.000009,0.000037,0.000105,0.000009,4.240000,2,42,-83958.840000,80000,400.000000
200,40000,200,0.031717,0.000159,0.016101,0.000081,80000,400.000000,0.000124,0.000200,0.000011,0.000039,0.000100,0.000010,5.170000,2,96,1000.765000,80000,400.000000
200,40000,200,0.031734,0.000159,0.016114,0.000081,80000,400.000000,0.000126,0.000209,0.000010,0.000039,0.000109,0.000010,4.450000,2,46,-88334.620000,80000,400.000000
200,40000,200,0.032642,0.000163,0.016571,0.000083,80000,400.000000,0.000138,0.000267,0.000014,0.000043,0.000131,0.000010,5.310000,2,48,1100.490000,80000,400.000000
200,40000,200,0.032047,0.000160,0.016333,0.000082,80000,400.000000,0.000124,0.000203,0.000010,0.000039,0.000113,0.000010,4.530000,2,36,-89693.315000,80000,400.000000
200,40000,200,0.031527,0.000158,0.016079,0.000080,80000,400.000000,0.000124,0.000201,0.000010,0.000039,0.000106,0.000009,4.460000,2,42,813.840000,80000,400.000000
200,40000,200,0.031661,0.000158,0.016119,0.000081,80000,400.000000,0.000123,0.000204,0.000010,0.000039,0.000103,0.000009,4.880000,2,40,-96656.175000,80000,400.000000
200,40000,200,0.031847,0.000159,0.016215,0.000081,80000,400.000000,0.000128,0.000207,0.000011,0.000040,0.000103,0.000010,5.020000,2,42,1041.285000,80000,400.000000
200,40000,200,0.031896,0.000159,0.016309,0.000082,80000,400.000000,0.000124,0.000217,0.000010,0.000040,0.000117,0.000010,5.270000,2,40,-104443.955000,80000,400.000000
200,40000,200,0.033036,0.000165,0.016967,0.000085,80000,400.000000,0.000122,0.000249,0.000018,0.000038,0.000126,0.000013,4.540000,2,34,863.990000,80000,400.000000
200,40000,200,0.033122,0.000166,0.016835,0.000084,80000,400.000000,0.000123,0.000248,0.000018,0.000039,0.000124,0.000012,4.710000,2,32,-93332.810000,80000,400.000000
300,90000,300,0.100996,0.000337,0.046371,0.000155,180000,600.000000,0.000273,0.000537,0.000029,0.000089,0.000215,0.000021,4.840000,2,50,1156.830000,180000,600.000000
300,90000,300,0.099324,0.000331,0.045470,0.000152,180000,600.000000,0.000264,0.000533,0.000020,0.000074,0.000199,0.000017,5.266667,2,46,-235509.493333,180000,600.000000
300,90000,300,0.099697,0.000332,0.046728,0.000156,180000,600.000000,0.000254,0.000513,0.000032,0.000075,0.000288,0.000022,4.620000,2,68,1414.603333,180000,600.000000
300,90000,300,0.098805,0.000329,0.045923,0.000153,180000,600.000000,0.000261,0.000517,0.000021,0.000072,0.000205,0.000016,5.046667,2,46,-225518.990000,180000,600.000000
300,90000,300,0.105254,0.000351,0.048507,0.000162,180000,600.000000,0.000262,0.000558,0.000026,0.000074,0.000223,0.000017,5.200000,2,56,1638.750000,180000,600.000000
300,90000,300,0.097423,0.000325,0.045294,0.000151,180000,600.000000,0.000257,0.000490,0.000019,0.000072,0.000188,0.000016,4.846667,2,40,-216783.820000,180000,600.000000
300,90000,300,0.098458,0.000328,0.045737,0.000152,180000,600.000000,0.000264,0.000501,0.000019,0.000072,0.000187,0.000016,5.140000,2,52,1779.580000,180000,600.000000
300,90000,300,0.098389,0.000328,0.045604,0.000152,180000,600.000000,0.000258,0.000500,0.000019,0.000071,0.000190,0.000016,4.860000,2,62,-216968.873333,180000,600.000000
300,90000,300,0.098795,0.000329,0.046127,0.000154,180000,600.000000,0.000261,0.000489,0.000018,0.000072,0.000199,0.000016,5.920000,2,56,1755.230000,180000,600.000000
300,90000,300,0.097688,0.000326,0.044822,0.000149,180000,600.000000,0.000262,0.000493,0.000021,0.000073,0.000189,0.000017,6.086667,2,76,-271817.126667,180000,600.000000
300,90000,300,0.098085,0.000327,0.045412,0.000151,180000,600.000000,0.000259,0.000493,0.000018,0.000072,0.000188,0.000016,4.360000,2,42,1308.956667,180000,600.000000
300,90000,300,0.097219,0.000324,0.045055,0.000150,180000,600.000000,0.000260,0.000510,0.000019,0.000072,0.000192,0.000016,5.253333,2,52,-234835.650000,180000,600.000000
300,90000,300,0.097002,0.000323,0.044855,0.000150,180000,600.000000,0.000256,0.000479,0.000018,0.000072,0.000189,0.000015,4.720000,2,38,1481.686667,180000,600.000000
300,90000,300,0.098629,0.000329,0.045925,0.000153,180000,600.000000,0.000261,0.000510,0.000021,0.000072,0.000200,0.000016,5.193333,2,62,-232065.266667,180000,600.000000
300,90000,300,0.099873,0.000333,0.046474,0.000155,180000,600.000000,0.000260,0.000518,0.000024,0.000072,0.000204,0.000019,5.640000,2,62,1738.286667,180000,600.000000
300,90000,300,0.098609,0.000329,0.045776,0.000153,180000,600.000000,0.000265,0.000487,0.000017,0.000071,0.000184,0.000015,4.086667,2,36,-182710.816667,180000,600.000000
300,90000,300,0.098142,0.000327,0.045538,0.000152,180000,600.000000,0.000258,0.000525,0.000019,0.000071,0.000188,0.000016,5.040000,2,60,1433.353333,180000,600.000000
300,90000,300,0.098598,0.000329,0.045819,0.000153,180000,600.000000,0.000259,0.000499,0.000018,0.000071,0.000183,0.000015,4.606667,2,44,-205790.330000,180000,600.000000
300,90000,300,0.098959,0.000330,0.046059,0.000154,180000,600.000000,0.000255,0.000499,0.000019,0.000071,0.000185,0.000016,5.260000,2,56,1584.906667,180000,600.000000
300,90000,300,0.098068,0.000327,0.045327,0.000151,180000,600.000000,0.000261,0.000499,0.000019,0.000072,0.000186,0.000016,4.973333,2,54,-222335.436667,180000,600.000000
300,90000,300,0.097892,0.000326,0.045601,0.000152,180000,600.000000,0.000247,0.000524,0.000019,0.000073,0.000188,0.000016,5.486667,2,52,1697.523333,180000,600.000000
300,90000,300,0.097767,0.000326,0.045399,0.000151,180000,600.000000,0.000257,0.000519,0.000018,0.000072,0.000190,0.000015,4.440000,2,42,-198559.680000,180000,600.000000
300,90000,300,0.097613,0.000325,0.045144,0.000150,180000,600.000000,0.000259,0.000518,0.000020,0.000073,0.000191,0.000017,5.000000,2,62,1430.536667,180000,600.000000
300,90000,300,0.098713,0.000329,0.046086,0.000154,180000,600.000000,0.000275,0.000509,0.000018,0.000078,0.000191,0.000015,5.633333,2,58,-251824.933333,180000,600.000000
300,90000,300,0.098081,0.000327,0.045620,0.000152,180000,600.000000,0.000268,0.000499,0.000018,0.000072,0.000207,0.000014,5.406667,2,70,1543.886667,180000,600.000000
300,90000,300,0.097396,0.000325,0.045099,0.000150,180000,600.000000,0.000264,0.000493,0.000019,0.000072,0.000195,0.000016,4.880000,2,42,-218422.896667,180000,600.000000
300,90000,300,0.097399,0.000325,0.045043,0.000150,180000,600.000000,0.000261,0.000493,0.000018,0.000072,0.000189,0.000016,4.546667,2,80,1335.913333,180000,600.000000
300,90000,300,0.097642,0.000325,0.045341,0.000151,180000,600.000000,0.000256,0.000515,0.000019,0.000079,0.000189,0.000016,5.986667,2,82,-267754.636667,180000,600.000000
300,90000,300,0.097754,0.000326,0.045499,0.000152,180000,600.000000,0.000263,0.000503,0.000019,0.000072,0.000191,0.000015,4.713333,2,38,1379.306667,180000,600.000000
300,90000,300,0.097385,0.000325,0.045061,0.000150,180000,600.000000,0.000260,0.000505,0.000019,0.000071,0.000190,0.000016,4.680000,2,42,-209117.130000,180000,600.000000
400,160000,400,0.219428,0.000549,0.095548,0.000239,320000,800.000000,0.000446,0.000808,0.000029,0.000119,0.000292,0.000025,5.100000,2,96,1921.032500,320000,800.000000
400,160000,400,0.219425,0.000549,0.095655,0.000239,320000,800.000000,0.000441,0.000782,0.000028,0.000119,0.000295,0.000025,5.665000,2,52,-450905.097500,320000,800.000000
400,160000,400,0.221093,0.000553,0.096692,0.000242,320000,800.000000,0.000450,0.000750,0.000026,0.000120,0.000315,0.000025,5.170000,2,86,2150.140000,320000,800.000000
400,160000,400,0.222042,0.000555,0.096928,0.000242,320000,800.000000,0.000442,0.000803,0.000028,0.000120,0.000300,0.000025,5.610000,2,80,-446452.347500,320000,800.000000
400,160000,400,0.220938,0.000552,0.096328,0.000241,320000,800.000000,0.000462,0.000799,0.000029,0.000130,0.000322,0.000027,5.095000,2,48,1856.337500,320000,800.000000
400,160000,400,0.221731,0.000554,0.096842,0.000242,320000,800.000000,0.000439,0.000800,0.000026,0.000119,0.000328,0.000024,4.635000,2,58,-368875.767500,320000,800.000000
400,160000,400,0.220935,0.000552,0.096456,0.000241,320000,800.000000,0.000451,0.000766,0.000025,0.000119,0.000295,0.000024,4.790000,2,54,1804.207500,320000,800.000000
400,160000,400,0.217267,0.000543,0.094636,0.000237,320000,800.000000,0.000443,0.000759,0.000029,0.000121,0.000375,0.000024,4.855000,2,70,-386825.037500,320000,800.000000
400,160000,400,0.222319,0.000556,0.096845,0.000242,320000,800.000000,0.000447,0.000747,0.000029,0.000118,0.000330,0.000026,5.200000,2,102,2060.940000,320000,800.000000
400,160000,400,0.221759,0.000554,0.096990,0.000242,320000,800.000000,0.000446,0.000822,0.000028,0.000121,0.000300,0.000025,5.985000,2,76,-476478.335000,320000,800.000000
400,160000,400,0.222751,0.000557,0.097629,0.000244,320000,800.000000,0.000454,0.000755,0.000028,0.000118,0.000306,0.000025,5.360000,2,70,1955.750000,320000,800.000000
400,160000,400,0.221970,0.000555,0.097052,0.000243,320000,800.000000,0.000442,0.000763,0.000029,0.000122,0.000337,0.000026,4.965000,2,52,-395422.260000,320000,800.000000
400,160000,400,0.220828,0.000552,0.096316,0.000241,320000,800.000000,0.000442,0.000777,0.000026,0.000119,0.000305,0.000024,5.580000,2,96,2108.640000,320000,800.000000
400,160000,400,0.219147,0.000548,0.095954,0.000240,320000,800.000000,0.000444,0.000757,0.000027,0.000120,0.000297,0.000024,5.325000,2,68,-423832.110000,320000,800.000000
400,160000,400,0.221523,0.000554,0.096700,0.000242,320000,800.000000,0.000448,0.000793,0.000027,0.000118,0.000298,0.000025,5.160000,2,52,1842.135000,320000,800.000000
400,160000,400,0.221744,0.000554,0.096891,0.000242,320000,800.000000,0.000441,0.000814,0.000026,0.000118,0.000305,0.000023,5.030000,2,56,-400322.100000,320000,800.000000
400,160000,400,0.219697,0.000549,0.096042,0.000240,320000,800.000000,0.000451,0.000786,0.000028,0.000119,0.000308,0.000024,4.590000,2,48,1878.077500,320000,800.000000
400,160000,400,0.219124,0.000548,0.095581,0.000239,320000,800.000000,0.000445,0.000774,0.000027,0.000120,0.000299,0.000023,4.705000,2,44,-374587.987500,320000,800.000000
400,160000,400,0.220023,0.000550,0.095960,0.000240,320000,800.000000,0.000448,0.000769,0.000028,0.000120,0.000295,0.000024,5.440000,2,54,2088.900000,320000,800.000000
400,160000,400,0.220983,0.000552,0.096163,0.000240,320000,800.000000,0.000441,0.000738,0.000028,0.000118,0.000293,0.000026,6.135000,2,86,-488643.390000,320000,800.000000
400,160000,400,0.221393,0.000553,0.096467,0.000241,320000,800.000000,0.000447,0.000743,0.000027,0.000119,0.000311,0.000026,5.090000,2,60,2036.030000,320000,800.000000
400,160000,400,0.221039,0.000553,0.096493,0.000241,320000,800.000000,0.000445,0.000748,0.000027,0.000119,0.000318,0.000025,5.750000,2,56,-457843.462500,320000,800.000000
400,160000,400,0.219326,0.000548,0.095658,0.000239,320000,800.000000,0.000444,0.000768,0.000028,0.000125,0.000292,0.000025,4.565000,2,46,1789.637500,320000,800.000000
400,160000,400,0.222559,0.000556,0.097099,0.000243,320000,800.000000,0.000443,0.000728,0.000028,0.000118,0.000312,0.000026,4.965000,2,56,-395229.315000,320000,800.000000
400,160000,400,0.221297,0.000553,0.096663,0.000242,320000,800.000000,0.000442,0.000794,0.000026,0.000120,0.000294,0.000024,5.355000,2,76,2036.467500,320000,800.000000
400,160000,400,0.218887,0.000547,0.096153,0.000240,320000,800.000000,0.000445,0.000806,0.000026,0.000120,0.000293,0.000023,4.400000,2,40,-350031.680000,320000,800.000000
400,160000,400,0.218751,0.000547,0.095441,0.000239,320000,800.000000,0.000446,0.000745,0.000028,0.000119,0.000302,0.000025,5.705000,2,72,2341.857500,320000,800.000000
400,160000,400,0.219306,0.000548,0.095619,0.000239,320000,800.000000,0.000444,0.000737,0.000025,0.000119,0.000289,0.000023,5.110000,2,74,-406495.497500,320000,800.000000
400,160000,400,0.219271,0.000548,0.095585,0.000239,320000,800.000000,0.000443,0.000760,0.000027,0.000119,0.000293,0.000025,4.890000,2,48,1661.457500,320000,800.000000
400,160000,400,0.219986,0.000550,0.096030,0.000240,320000,800.000000,0.000457,0.000763,0.000026,0.000119,0.000293,0.000024,5.070000,2,56,-403525.765000,320000,800.000000
500,250000,500,0.418554,0.000837,0.174497,0.000349,500000,1000.000000,0.000682,0.001069,0.000033,0.000169,0.000465,0.000033,5.528000,2,74,2684.604000,500000,1000.000000
500,250000,500,0.417031,0.000834,0.173197,0.000346,500000,1000.000000,0.000691,0.001140,0.000032,0.000188,0.000429,0.000030,5.184000,2,82,-645531.422000,500000,1000.000000
